State,Total
Florida,812
Hawaii,159
California,122
South Carolina,102
North Carolina,64
Texas,43
Oregon,27
New Jersey,15
Georgia,13
New York,10
Alabama,8
Virginia,5
Massachusetts,4
Delaware,4
Louisiana,4
Mississippi,2
Washington,2
Maine,1
Connecticut,1
Rhode Island,1
Maryland,1
